District,Unemployment Rate (%),Population Density (people/km²),Number of Police Stations,Education Index,Poverty Rate (%),"Crime Rate (per 1,000 people)"
Alappuzha,11.97,1559.14,42,0.936,14.16,39.13
Kottayam,8.09,872.95,30,0.972,10.21,18.83
Malappuram,12.03,1144.2,38,0.903,20.8,46.6
Idukki,7.51,273.81,19,0.932,6.22,13.82
Alappuzha,9.35,1518.93,42,0.931,15.65,33.99
Kollam,10.01,951.48,40,0.911,16.81,33.72
Idukki,7.06,321.31,20,0.909,8.03,17.29
Thrissur,9.99,966.47,37,0.937,12.77,26.02
Thrissur,9.22,1075.61,39,0.951,11.52,24.56
Ernakulam,9.41,1152.53,48,0.967,10.16,19.17
Idukki,8.96,297.98,19,0.905,9.48,26.57
Kollam,11.8,1053.8,39,0.933,17.62,40.78
Ernakulam,8.8,1000.92,49,0.959,9.0,12.6
Kozhikode,9.84,1289.08,42,0.967,13.38,28.37
Wayanad,11.86,417.97,27,0.88,17.88,45.37
Kasaragod,13.5,634.49,25,0.893,19.47,55.79
Kasaragod,13.0,729.7,29,0.912,17.33,47.49
Kottayam,9.93,857.76,34,0.97,10.87,24.83
Idukki,6.07,213.71,19,0.918,7.0,11.38
Malappuram,11.99,1110.2,34,0.9,21.33,51.54
Thrissur,8.54,997.56,41,0.94,12.85,21.0
Kasaragod,11.89,668.48,25,0.898,18.95,47.6
Thrissur,8.0,1072.4,38,0.959,14.74,24.85
Pathanamthitta,8.31,485.51,27,0.95,10.55,23.21
